GUID	Row_ID	Name	Category	Word	Excel	PowerPoint	Log
{guid {C0A0201C-BD3D-4123-ABDC-E69C17550043}}	9	DocumentBeforePrint	Document	True	False	False	True
{guid {C190CF68-413B-474E-8440-95D6FABFD1C1}}	20	MailMergeBeforeRecordMerge	Mail Merge	True	False	False	True
{guid {C2F39967-1F5F-4594-9E67-36FFFFEA8ADD}}	78	WorkbookAddinInstall	Workbook/Add-in	False	True	False	True
{guid {C53E8AA7-7A42-433A-B459-6195DCB4BB4A}}	71	WindowBeforeDoubleClick	Window	True	False	True	True
{guid {CEA8688A-8BDC-4557-B8F4-920C168FE1CA}}	84	WorkbookBeforePrint	Workbook	False	True	False	True
{guid {CECAE69C-B7CC-4377-B4D6-3949DDA0F2DA}}	41	ProtectedViewWindowDeactivate	Protected View	True	True	True	True
{guid {D17A0144-E92A-4FA9-ABEA-8BDE56F580E2}}	39	ProtectedViewWindowBeforeClose	Protected View	True	True	True	True
{guid {D353B8D4-786C-4326-96F1-1DA71BB33AA4}}	29	PresentationBeforeClose	Presentation	False	False	True	True
{guid {D8491236-0D54-4073-961B-86BF2028D22F}}	86	WorkbookBeforeXmlExport	XML	False	True	False	True
{guid {D9D9A2A7-C388-4180-97D1-64BB4D5AA3B2}}	98	XMLValidationError	XML	True	False	False	True
{guid {DBA683FB-DEA0-4DD4-95AB-31237474F949}}	8	DocumentBeforeClose	Document	True	False	False	True
{guid {DCCE6399-652B-4565-A860-C7101081192B}}	82	WorkbookAfterXmlImport	XML	False	True	False	True
{guid {E67A104F-5291-47D2-8337-111DAC8F3095}}	6	AfterShapeSizeChange	Shape	False	False	True	True
{guid {E8197547-5CB9-4E32-AAA7-0EC60B83114C}}	56	SheetPivotTableBeforeAllocateChanges	PivotTable	False	True	False	True
{guid {E8FCF3BF-0D9D-4B53-B5F2-D3F6AC1682B6}}	45	Quit	Application	True	False	False	True
{guid {E90F8B32-2BF0-4A87-B13A-B1D861E68E9A}}	77	WorkbookActivate	Workbook	False	True	False	True
{guid {EA66D8D2-A662-4905-8FCA-1792E6988BBD}}	19	MailMergeBeforeMerge	Mail Merge	True	False	False	True
{guid {F4080799-3081-4D20-A1BF-840C05705AEA}}	25	MailMergeWizardStateChange	Mail Merge	True	False	False	True
{guid {F453C0E7-3DEF-47AF-B105-1BA443184B31}}	4	AfterNewPresentation	Presentation	False	False	True	True
{guid {F7080B09-C72F-42D0-8942-75DCC6BB8A44}}	52	SheetDeactivate	Worksheet	False	True	False	True
{guid {FBEC83F1-CF4E-4F39-8452-AE95138D3CE9}}	69	SlideShowOnPrevious	Slide Show	False	False	True	True
{guid {FD675B85-CE6C-4653-92DE-F3826937A621}}	33	PresentationNewSlide	Slide	False	False	True	True
